# n_subhalo mass[Msun] radius[Mpc] sigma_p sigma_3D cm_vel_offset[km/s] dot_vel
4218 2.417509e+13 0.594234 289.913300 497.375578 14.449877 0.999464
5079 2.617555e+13 0.610187 269.096619 504.504885 35.688705 0.998899
1968 1.196092e+13 0.470001 215.201981 390.815884 5.905982 0.999977
2802 1.898544e+13 0.548245 253.578659 492.685187 64.829346 0.993543
489 4.213389e+12 0.331939 155.899506 266.345791 14.046646 0.999320
5442 4.656424e+13 0.739362 374.721802 646.055727 1.262027 0.999969
1329 5.593804e+12 0.364820 211.914612 357.457688 28.756922 0.971633
546 4.103553e+12 0.329028 171.136200 279.101940 7.428694 0.997557
1182 1.137142e+13 0.462127 224.949295 388.523240 2.149293 0.999787
2391 1.435631e+13 0.499486 250.156677 421.434865 0.341184 0.999999
909 7.416411e+12 0.400776 221.386093 351.954321 0.385130 0.999997
660 4.921625e+12 0.349567 177.401855 295.142929 0.119035 1.000000
690 4.013158e+12 0.326586 159.221115 265.597929 4.717923 0.999858
915 4.037082e+12 0.327231 143.273956 273.347673 1.923458 0.999960
4533 2.616074e+13 0.610090 272.681000 481.663404 48.300217 0.993797
633 4.235577e+12 0.332515 163.500793 269.134753 12.630383 0.999289
804 5.374403e+12 0.359975 200.315460 321.888158 35.604744 0.986416
6651 2.487388e+13 0.599910 271.966614 503.692568 8.258081 0.999458
489 4.213389e+12 0.331939 155.899506 266.345791 14.046646 0.999320
786 6.878595e+12 0.390840 176.450165 312.944828 3.741278 0.999942
807 4.859344e+12 0.348097 144.754623 285.654119 9.916637 0.999720
1536 7.339479e+12 0.399387 200.272232 338.710631 3.101949 0.999980
2307 1.164767e+13 0.465845 221.639801 396.594008 6.053640 0.999644
8787 3.687086e+13 0.684004 305.008514 576.101335 14.644477 0.998821
633 4.714881e+12 0.344604 151.358475 275.685889 3.177117 0.999900
2805 1.650333e+13 0.523234 248.329300 441.857401 3.640840 0.999965
750 3.015490e+12 0.296910 146.618423 262.608996 21.145544 0.995517
1266 1.240480e+13 0.475746 239.556534 390.646464 0.573822 0.999995
5241 1.648125e+13 0.522990 231.022324 450.021478 25.296135 0.995868
32169 1.170755e+14 1.005366 499.970276 855.706190 81.024406 0.986757
3567 1.985587e+13 0.556507 317.916290 470.591898 16.911026 0.996564
1257 4.869390e+12 0.348336 163.762970 302.158023 7.189503 0.999870
834 4.115963e+12 0.329354 145.979034 279.531940 2.963800 0.999788
2079 1.087245e+13 0.455281 197.563782 372.766431 0.997146 1.000000
1257 4.869390e+12 0.348336 163.762970 302.158023 7.189503 0.999870
705 3.708285e+12 0.318102 155.399139 273.893533 8.466999 0.999886
22749 1.361068e+14 1.057142 462.292084 901.106291 13.153429 0.998825
11202 3.104929e+13 0.645938 322.891083 655.138580 25.583548 0.996109
6300 2.611258e+13 0.609715 284.721252 539.020175 75.262856 0.943505
6012 4.205928e+13 0.714700 338.490570 592.376263 60.864895 0.990993
618 2.939666e+12 0.294399 140.808075 240.771453 7.247600 0.999371
