# d_radial[Mpc] v_radial[km/s] ra deg MAG_B MAG_K
31834.925781 2051.413574 260.261963 22.101978 -18.455006 -22.260481
31727.929688 2413.141113 254.744019 23.582853 -19.036663 -21.615894
31088.324219 1274.403809 263.210754 23.957603 -18.804653 -21.976959
30958.646484 1846.270874 267.442200 22.561260 -19.275257 -22.388536
31666.720703 1967.758667 261.349762 22.134443 -18.833376 -21.838358
31494.435547 2361.788086 254.966629 23.892868 -18.625540 -21.591364
31006.900391 2266.346924 262.105988 22.259769 -19.762993 -22.511356
31253.343750 1465.071533 263.045135 22.864256 -18.865402 -22.105831
30585.619141 1378.769531 267.829285 23.489456 -18.608929 -22.361105
32836.898438 2038.728760 253.375412 21.340174 -18.707384 -21.680609
30475.367188 2047.966309 263.981140 21.806395 -18.638348 -21.457174
31041.865234 1680.715576 268.015961 22.975458 -18.630796 -22.096546
32409.857422 2143.804932 251.753052 23.252359 -17.962517 -21.001144
31336.478516 2187.616211 257.447388 20.570663 -18.065475 -21.047201
31485.416016 1352.450928 267.991974 23.469601 -17.927158 -21.603613
31356.625000 2430.694824 252.952408 21.126225 -18.029316 -21.041117
31104.453125 1534.008545 268.355011 23.538633 -17.967716 -21.720098
30796.728516 2206.108887 265.069916 23.641121 -18.347908 -21.445280
30955.416016 2148.584473 266.909515 22.008207 -18.002396 -21.116690
31424.435547 1727.447266 268.467346 24.023031 -17.925289 -21.294296
31797.291016 1986.606689 258.418365 21.634882 -17.824673 -21.223093
30954.013672 1824.175415 263.053192 21.326828 -17.654558 -21.250431
30547.021484 2207.707031 261.674744 23.114717 -17.872396 -21.377441
31199.916016 2197.485107 254.750275 21.918589 -18.393805 -21.472826
31210.041016 2108.091553 264.404327 23.318272 -17.552698 -21.217035
30682.755859 1286.427856 267.406281 23.139069 -17.611654 -21.145237
30385.107422 1758.195923 261.647034 22.042173 -18.354319 -21.492653
31528.414062 1910.907959 255.392075 22.534561 -17.683407 -21.142481
31058.863281 2773.493408 261.663025 22.492249 -17.465233 -21.150553
30980.640625 1405.726196 267.098633 23.171204 -17.398674 -21.205942
31065.035156 1514.759521 262.077240 22.491941 -16.876127 -21.074566
40575.089844 2843.758545 141.785049 -46.522854 -23.830936 -27.699625
39859.867188 2636.561035 143.469467 -46.952393 -21.718761 -25.700981
40646.484375 2869.426025 141.808868 -46.848915 -21.719215 -25.869957
40115.195312 2657.342285 142.254684 -47.965771 -20.263832 -24.235929
39965.492188 2575.177734 142.830063 -48.616650 -20.685280 -24.278961
40250.496094 2663.801514 139.861755 -46.027256 -20.311813 -24.120760
40445.527344 2762.765381 140.284073 -46.945835 -20.554640 -24.472019
39500.019531 2073.572266 139.183136 -44.991459 -21.086010 -23.998814
40810.878906 2568.744873 141.442886 -46.832260 -20.388765 -24.430729
40203.941406 2831.656250 142.661728 -46.946789 -20.563984 -24.572266
40713.691406 3098.044189 142.151245 -44.827873 -20.140949 -23.950468
38917.171875 2937.048340 141.529190 -47.198959 -20.521498 -23.990175
40781.304688 1962.628906 141.867584 -47.072289 -19.770428 -23.604021
40933.820312 2541.511230 138.645325 -47.747902 -19.888166 -23.532028
39637.562500 1646.461548 141.663422 -46.116512 -20.928587 -23.983421
40569.644531 2044.688354 141.918152 -46.180622 -19.852585 -23.855690
40598.144531 1815.882812 142.988571 -45.881596 -19.854786 -23.131014
40819.867188 3153.875244 142.083221 -47.090321 -20.027163 -23.916212
40572.109375 3229.579102 142.249252 -47.430832 -19.667854 -23.723881
40781.722656 1864.521729 142.702240 -45.362049 -19.880169 -23.097197
41092.777344 3043.693115 140.350098 -46.180565 -20.208765 -23.413929
40423.222656 2383.935059 142.397583 -46.264565 -19.568701 -23.534159
39580.289062 2701.528564 143.891922 -47.031006 -19.693495 -23.477829
39132.121094 2614.040283 145.788605 -47.615959 -19.603790 -22.608767
39502.503906 2273.284180 144.884979 -47.360466 -19.510862 -22.616266
40828.527344 3322.845459 142.099548 -46.806019 -19.282179 -23.298096
42224.566406 3277.013428 144.335571 -47.071934 -19.393053 -23.224295
41461.828125 3249.136230 140.967865 -46.213638 -19.069445 -22.362806
41081.500000 2028.410278 142.394196 -46.097305 -19.862854 -22.467213
39865.890625 2075.719482 143.516052 -46.655907 -19.387388 -22.184078
42350.023438 3283.554688 145.046631 -47.498192 -19.389254 -22.703072
40247.398438 2836.268066 142.761108 -46.860046 -19.055092 -22.711555
41682.304688 2845.201904 140.419800 -48.467121 -18.527666 -22.040239
40337.789062 3080.012451 143.529633 -47.206474 -18.498198 -22.071384
42194.992188 2609.167969 143.372787 -47.319473 -18.815725 -21.690258
40827.843750 1688.172974 141.425598 -47.080360 -19.367538 -21.998774
41329.988281 2983.448730 140.298676 -47.871544 -18.387094 -21.071119
39722.109375 2573.276367 143.052734 -48.743500 -18.449411 -21.493773
40260.804688 2345.569824 141.876968 -46.380951 -18.107885 -21.869324
42074.699219 2611.842529 141.320770 -47.690815 -18.004982 -21.416624
41071.757812 2562.630127 139.551025 -47.736263 -17.778912 -21.415043
41364.515625 3178.861816 141.870697 -46.555706 -17.963852 -21.199125
40033.304688 2119.088135 141.771545 -47.212265 -17.843863 -21.168093
40542.644531 2818.622070 142.086243 -48.067242 -17.730938 -21.325306
40609.507812 2129.819824 142.218872 -46.790108 -17.922432 -21.357862
40961.035156 3221.122070 142.564850 -45.387375 -17.690508 -21.262520
40059.351562 2553.381592 141.651443 -46.345490 -17.899805 -21.350578
40511.667969 3353.303467 140.946198 -45.926006 -17.508213 -21.078703
40505.183594 2698.820801 141.879776 -46.468609 -17.320198 -21.529924
53419.621094 3037.879883 233.771851 24.185890 -21.967031 -25.895170
53907.433594 3384.379883 231.398605 25.655460 -21.383739 -25.223541
53669.667969 2807.438232 233.016815 24.440546 -21.471527 -24.996054
53314.558594 2710.317383 232.967331 24.992008 -21.707821 -25.253395
55256.984375 3418.059814 233.919998 24.200075 -21.095123 -24.146965
52590.359375 3290.075928 231.277893 24.385380 -20.168270 -24.101315
53461.613281 3224.441895 233.549515 24.744291 -20.360348 -24.094791
52808.382812 3246.019775 232.632294 24.806126 -19.917694 -23.813276
53372.402344 3473.811279 232.401276 24.302843 -19.250845 -23.213068
53372.019531 3128.361328 231.814972 26.375191 -19.583418 -22.528559
53092.695312 3446.599854 232.880402 24.501089 -18.772062 -22.376108
53621.621094 3046.909912 233.858948 24.938536 -18.867426 -21.336016
55380.871094 3456.669189 234.162033 24.305069 -19.107574 -21.567949
54073.003906 3474.590332 234.059174 23.205006 -18.406429 -21.248240
53063.566406 3279.318359 234.291107 24.344316 -18.537569 -21.923952
53398.039062 3144.235840 234.313675 23.633963 -18.856234 -21.440603
53564.449219 3118.669434 233.412109 23.779829 -18.190435 -22.345758
53223.933594 2754.838135 232.394531 24.403902 -17.935516 -21.112177
53447.375000 3192.625244 233.128525 23.155426 -18.147186 -21.517790
53793.691406 3495.545410 233.626907 23.458475 -17.317533 -21.017248
53028.769531 3179.466553 315.225220 -39.439156 -22.830610 -26.066172
52914.894531 3110.962646 315.131897 -39.902187 -20.662006 -24.518158
52047.574219 3148.615723 316.092163 -40.392883 -20.817091 -23.926859
51767.394531 3340.122070 315.566864 -40.869534 -19.948925 -23.371962
53195.179688 3397.813477 314.272491 -41.272079 -20.619545 -23.978788
52515.875000 3333.988281 315.423279 -40.421432 -20.369274 -23.238977
52073.562500 3361.509521 312.689636 -41.491684 -20.427900 -24.412565
52266.968750 3155.664795 313.315430 -40.785019 -20.172665 -24.368061
52379.957031 3199.513672 312.739990 -40.623539 -19.710878 -23.618872
51879.277344 3410.911621 310.332703 -41.617741 -19.883635 -23.145000
52330.113281 3180.935059 313.678955 -40.445641 -19.159698 -23.038807
52693.847656 3363.508789 310.968597 -40.828403 -19.788107 -22.880245
53197.503906 3260.370605 315.362701 -39.233006 -19.898043 -22.963308
52009.539062 3074.073975 316.001343 -40.374428 -20.209469 -23.152971
51502.601562 3053.604736 311.869659 -41.201248 -19.872124 -23.070450
51259.082031 3185.761719 311.490753 -40.680405 -19.405851 -22.419230
52319.207031 3458.437988 313.049103 -40.701813 -20.466215 -23.300259
52350.269531 3070.446045 313.289490 -40.537533 -20.559618 -22.699272
52669.496094 3022.929199 315.490448 -38.873684 -18.286201 -21.040091
52151.023438 3047.191406 313.192474 -40.752739 -18.466421 -22.649542
52376.824219 3052.307861 315.320374 -39.729385 -18.336300 -21.062548
52329.601562 3002.502686 312.980927 -40.438740 -18.913357 -22.545267
51634.605469 3167.572998 312.933716 -40.437553 -18.951988 -21.992178
52666.226562 2830.740479 315.129333 -39.454498 -18.524071 -21.318642
52403.976562 3199.834229 313.084503 -40.734104 -18.258688 -21.939554
52276.617188 3168.195312 313.145813 -40.924053 -17.816914 -21.380283
53024.429688 3010.553467 315.220764 -39.440483 -18.714298 -21.680132
53025.031250 3091.501709 315.219177 -39.446533 -18.795443 -21.468576
40519.808594 2699.256348 134.938507 -40.942425 -23.450550 -27.323027
41025.453125 2491.676270 133.989227 -40.534786 -22.239662 -26.212900
40766.796875 2625.134033 138.611740 -41.318401 -20.686062 -24.441618
