 log10_L ,        log10_M
 8.59900 ,  9383696.49978
 8.60000 ,  9384242.11111
 8.60100 ,  9384787.69073
 8.60200 ,  9385333.23862
 8.60300 ,  9385878.75481
 8.60400 ,  9386424.23929
 8.60500 ,  9386969.69208
 8.60600 ,  9387515.11317
 8.60700 ,  9388060.50257
 8.60800 ,  9388605.86030
 8.60900 ,  9389151.18634
 8.61000 ,  9389696.48072
 8.61100 ,  9390241.74343
 8.61200 ,  9390786.97448
 8.61300 ,  9391332.17387
 8.61400 ,  9391877.34162
 8.61500 ,  9392422.47772
 8.61600 ,  9392967.58219
 8.61700 ,  9393512.65502
 8.61800 ,  9394057.69622
 8.61900 ,  9394602.70581
 8.62000 ,  9395147.68378
 8.62100 ,  9395692.63014
 8.62200 ,  9396237.54489
 8.62300 ,  9396782.42804
 8.62400 ,  9397327.27960
 8.62500 ,  9397872.09958
 8.62600 ,  9398416.88797
 8.62700 ,  9398961.64478
 8.62800 ,  9399506.37002
 8.62900 ,  9400051.06369
 8.63000 ,  9400595.72580
 8.63100 ,  9401140.35636
 8.63200 ,  9401684.95537
 8.63300 ,  9402229.52283
 8.63400 ,  9402774.05876
 8.63500 ,  9403318.56315
 8.63600 ,  9403863.03601
 8.63700 ,  9404407.47735
 8.63800 ,  9404951.88717
 8.63900 ,  9405496.26548
 8.64000 ,  9406040.61229
 8.64100 ,  9406584.92759
 8.64200 ,  9407129.21140
 8.64300 ,  9407673.46372
 8.64400 ,  9408217.68456
 8.64500 ,  9408761.87391
 8.64600 ,  9409306.03180
 8.64700 ,  9409850.15821
 8.64800 ,  9410394.25316
 8.64900 ,  9410938.31666
 8.65000 ,  9411482.34871
 8.65100 ,  9412026.34930
 8.65200 ,  9412570.31846
 8.65300 ,  9413114.25619
 8.65400 ,  9413658.16248
 8.65500 ,  9414202.03735
 8.65600 ,  9414745.88080
 8.65700 ,  9415289.69283
 8.65800 ,  9415833.47346
 8.65900 ,  9416377.22269
 8.66000 ,  9416920.94052
 8.66100 ,  9417464.62696
 8.66200 ,  9418008.28201
 8.66300 ,  9418551.90568
 8.66400 ,  9419095.49798
 8.66500 ,  9419639.05890
 8.66600 ,  9420182.58846
 8.66700 ,  9420726.08667
 8.66800 ,  9421269.55352
 8.66900 ,  9421812.98902
 8.67000 ,  9422356.39317
 8.67100 ,  9422899.76600
 8.67200 ,  9423443.10748
 8.67300 ,  9423986.41765
 8.67400 ,  9424529.69649
 8.67500 ,  9425072.94401
 8.67600 ,  9425616.16023
 8.67700 ,  9426159.34514
 8.67800 ,  9426702.49875
 8.67900 ,  9427245.62107
 8.68000 ,  9427788.71210
 8.68100 ,  9428331.77185
 8.68200 ,  9428874.80031
 8.68300 ,  9429417.79751
 8.68400 ,  9429960.76344
 8.68500 ,  9430503.69811
 8.68600 ,  9431046.60152
 8.68700 ,  9431589.47368
 8.68800 ,  9432132.31459
 8.68900 ,  9432675.12427
 8.69000 ,  9433217.90271
 8.69100 ,  9433760.64992
 8.69200 ,  9434303.36591
 8.69300 ,  9434846.05068
 8.69400 ,  9435388.70423
 8.69500 ,  9435931.32658
 8.69600 ,  9436473.91773
 8.69700 ,  9437016.47768
 8.69800 ,  9437559.00644
 8.69900 ,  9438101.50401
 8.70000 ,  9438643.97040
 8.70100 ,  9439186.40562
 8.70200 ,  9439728.80966
 8.70300 ,  9440271.18255
 8.70400 ,  9440813.52427
 8.70500 ,  9441355.83484
 8.70600 ,  9441898.11426
 8.70700 ,  9442440.36253
 8.70800 ,  9442982.57967
 8.70900 ,  9443524.76568
 8.71000 ,  9444066.92056
 8.71100 ,  9444609.04432
 8.71200 ,  9445151.13696
 8.71300 ,  9445693.19849
 8.71400 ,  9446235.22892
 8.71500 ,  9446777.22824
 8.71600 ,  9447319.19647
 8.71700 ,  9447861.13361
 8.71800 ,  9448403.03967
 8.71900 ,  9448944.91465
 8.72000 ,  9449486.75855
 8.72100 ,  9450028.57139
 8.72200 ,  9450570.35316
 8.72300 ,  9451112.10387
 8.72400 ,  9451653.82354
 8.72500 ,  9452195.51215
 8.72600 ,  9452737.16973
 8.72700 ,  9453278.79627
 8.72800 ,  9453820.39178
 8.72900 ,  9454361.95626
 8.73000 ,  9454903.48972
 8.73100 ,  9455444.99217
 8.73200 ,  9455986.46361
 8.73300 ,  9456527.90405
 8.73400 ,  9457069.31348
 8.73500 ,  9457610.69192
 8.73600 ,  9458152.03938
 8.73700 ,  9458693.35585
 8.73800 ,  9459234.64134
 8.73900 ,  9459775.89587
 8.74000 ,  9460317.11942
 8.74100 ,  9460858.31201
 8.74200 ,  9461399.47365
 8.74300 ,  9461940.60434
 8.74400 ,  9462481.70408
 8.74500 ,  9463022.77288
